City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,tazacorte,28.629,-17.9293,17.54,59,0,3.6,ES,1730271087
166,bandeirantes,-23.11,-50.3675,19.63,80,1,3.51,BR,1730271088
167,tsiombe,-25.3,45.4833,34.55,34,100,2.61,MG,1730271089
168,mugia,43.1041,-9.2179,14.95,78,3,6.71,ES,1730270441
169,taoudenni,22.6783,-3.9836,23.73,28,62,4.11,ML,1730270665
170,port mathurin,-19.6833,63.4167,23.28,77,21,7.77,MU,1730270639
171,aripuana,-9.1667,-60.6333,23.6,69,100,1.57,BR,1730271095
172,afaahiti,-17.75,-149.2833,23.24,76,94,7.84,PF,1730270724
173,port macquarie,-31.4333,152.9167,21.71,68,3,3.58,AU,1730271097
174,new norfolk,-42.7826,147.0587,15.51,59,100,3.29,AU,1730271099
175,inarajan village,13.2736,144.7484,30.55,85,100,7.43,GU,1730271100
176,stephenville,32.2207,-98.2023,22.86,82,0,3.13,US,1730271101
177,zharkent,44.1628,80.0,9.25,47,98,1.24,KZ,1730271103
178,nova xavantina,-14.6667,-52.35,22.52,96,100,0.81,BR,1730271104
179,enewetak,11.3474,162.3373,29.02,76,18,6.77,MH,1730270658
180,bardai,11.65,7.2333,21.81,30,100,4.79,NG,1730270622
181,kuanda,56.3161,116.0806,-2.5,87,100,0.47,RU,1730271108
182,turbat,26.0023,63.044,34.74,14,0,5.65,PK,1730271110
183,alaghsas,17.0187,8.0168,18.94,27,0,3.09,NE,1730271111
184,coyhaique,-45.5752,-72.0662,7.61,97,100,2.54,CL,1730271112
185,iquique,-20.2208,-70.1431,17.02,75,20,2.34,CL,1730271114
186,koton-karfe,8.1,6.8,26.15,81,82,0.77,NG,1730271115
187,arraial do cabo,-22.9661,-42.0278,21.85,87,100,6.15,BR,1730271116
188,kudymkar,59.0173,54.656,3.13,79,100,4.38,RU,1730271117
189,ranchettes,41.2186,-104.7903,0.29,93,100,4.63,US,1730271119
190,douz,33.4663,9.0203,21.53,81,96,5.78,TN,1730271120
191,vadso,70.0744,29.7487,0.09,86,100,2.57,NO,1730270584
192,rio cuarto,-33.1307,-64.3499,20.65,42,0,6.78,AR,1730271123
193,kyaiklat,16.4333,95.7333,31.06,67,46,1.6,MM,1730271124
194,fort st. john,56.2499,-120.8529,-0.06,80,75,3.6,CA,1730270581
